tweet_id,retweet_count,favorite_count,user_count
892420643555336193,7341,34986,8982820
892177421306343426,5478,30294,8982820
891815181378084864,3621,22788,8982820
891689557279858688,7530,38250,8982820
891327558926688256,8110,36532,8982820
891087950875897856,2715,18426,8982820
890971913173991426,1757,10719,8982820
890729181411237888,16465,58937,8982820
890609185150312448,3768,25357,8982820
890240255349198849,6375,28937,8982820
890006608113172480,6404,27901,8982820
889880896479866881,4340,25377,8982820
889665388333682689,8725,43558,8982820
889638837579907072,3896,24495,8982820
889531135344209921,1966,13796,8982820
889278841981685760,4635,22861,8982820
888917238123831296,3904,26464,8982820
888804989199671297,3698,23215,8983339
888554962724278272,3006,17913,8982820
888078434458587136,3032,19804,8982820
887705289381826560,4711,27543,8982821
887517139158093824,10264,42129,8982822
887473957103951883,15676,62322,8982822
887343217045368832,9197,30567,8982822
887101392804085760,5204,27871,8982822
886983233522544640,6659,31555,8982822
886736880519319552,2765,10849,8982822
886680336477933568,3905,20439,8982822
886366144734445568,2760,19188,8982820
886267009285017600,3,107,8982820
886258384151887873,5517,25425,8982822
886054160059072513,96,0,8982822
885984800019947520,5854,29584,8982822
885528943205470208,5576,32671,8982822
885518971528720385,3260,18611,8982822
885311592912609280,16126,0,8982822
885167619883638784,3816,19885,8982822
884925521741709313,15750,69832,8982822
884876753390489601,4874,25267,8982823
884562892145688576,4098,22082,8982823
884441805382717440,4972,24646,8982823
884247878851493888,17719,65781,8982823
884162670584377345,2612,18540,8982823
883838122936631299,2984,19855,8982823
883482846933004288,8624,41634,8982823
883360690899218434,3212,20611,8982823
883117836046086144,5785,33690,8982822
882992080364220416,3384,21703,8982823
882762694511734784,4263,25641,8983342
882627270321602560,5289,25484,8982823
882268110199369728,10094,40643,8982823
882045870035918850,4244,26630,8982823
881906580714921986,2968,22147,8982823
881666595344535552,9322,46071,8982823
881633300179243008,8,114,8982823
881536004380872706,13982,44956,8982823
881268444196462592,4643,21177,8982823
880935762899988482,2441,15553,8982823
880872448815771648,3335,19372,8982823
880465832366813184,5427,25846,8982823
880221127280381952,3626,24491,8982823
880095782870896641,3797,25124,8982823
879862464715927552,3043,20367,8982823
879674319642796034,10,288,8982823
879492040517615616,2766,21386,8982823
879415818425184262,39021,96085,8982823
879376492567855104,2741,15346,8982823
879130579576475649,5969,0,8982823
879050749262655488,4126,20511,8982823
879008229531029506,2341,17311,8982822
878776093423087618,3597,17661,8982823
878604707211726852,6187,27357,8982823
878404777348136964,1117,0,8982823
878316110768087041,5790,0,8982823
878281511006478336,1117,7022,8982823
878057613040115712,5969,38335,8982823
877736472329191424,16564,71925,8982823
877611172832227328,71,0,8982823
877556246731214848,3320,20655,8982823
877316821321428993,4561,25000,8982823
877201837425926144,4862,24668,8982823
876838120628539392,2923,18860,8982823
876537666061221889,4127,21690,8982823
876484053909872640,2078,17123,8982823
876120275196170240,4082,25540,8982823
875747767867523072,3753,22916,8982823
875144289856114688,4301,20009,8982823
875097192612077568,5350,25041,8983342
875021211251597312,4146,23309,8982823
874680097055178752,4079,25402,8982823
874434818259525634,12760,0,8982823
874296783580663808,3634,23815,8982823
874057562936811520,3508,20777,8982823
874012996292530176,8979,31186,8982823
873580283840344065,3464,22159,8982823
873337748698140672,1393,0,8982823
873213775632977920,1393,6545,8982823
872967104147763200,4762,24913,8982823
872820683541237760,3284,13493,8982823
872620804844003328,3213,18981,8982824
872486979161796608,8038,37307,8982824
872122724285648897,7165,31325,8982824
871879754684805121,9655,34344,8982824
871762521631449091,3079,18506,8982824
871515927908634625,3067,18494,8982823
871166179821445120,5065,0,8982824
871102520638267392,4882,19178,8982824
871032628920680449,3372,20855,8982823
870804317367881728,5479,30832,8982824
870726314365509632,3,110,8982824
870656317836468226,2305,11263,8982824
870374049280663552,23677,76424,8982824
870308999962521604,3681,20127,8982823
870063196459192321,7379,33505,8982824
869772420881756160,9039,39197,8982824
869702957897576449,5591,25893,8982824
869596645499047938,2763,14691,8982824
869227993411051520,3346,18772,8982824
868880397819494401,12811,60025,8982823
868639477480148993,1831,0,8982824
868622495443632128,4703,24465,8982824
868552278524837888,1831,9275,8982824
867900495410671616,3735,22306,8983343
867774946302451713,6538,31305,8982824
867421006826221569,2225,14800,8982824
867072653475098625,106,0,8982824
867051520902168576,7057,29674,8982824
866720684873056260,4307,18429,8982825
866686824827068416,3092,17757,8982825
866450705531457537,31580,112675,8982825
866334964761202691,12760,48236,8982825
866094527597207552,7502,0,8982825
865718153858494464,5053,23744,8982825
865359393868664832,4493,24442,8982825
865006731092295680,6951,25901,8982825
864873206498414592,7810,29800,8982825
864279568663928832,2707,13512,8982825
864197398364647424,7931,27678,8982825
863907417377173506,3734,19099,8982825
863553081350529029,3783,14117,8982825
863471782782697472,2173,0,8982825
863432100342583297,4735,22034,8982825
863427515083354112,84,2029,8982825
863079547188785154,1002,8144,8982825
863062471531167744,2173,7799,8982825
862831371563274240,4634,17786,8982825
862722525377298433,3213,15865,8982825
862096992088072192,20901,68689,8982826
861383897657036800,9697,33480,8982826
861288531465048066,3743,15928,8982826
861005113778896900,3464,15517,8982826
860981674716409858,1935,0,8982826
860924035999428608,710,0,8982826
860563773140209665,1935,6962,8982826
860524505164394496,4800,22004,8982826
860276583193509888,3200,17137,8982826
860184849394610176,5324,15496,8982826
860177593139703809,28041,0,8982826
859924526012018688,3726,18270,8982826
859851578198683649,3206,14419,8982826
859607811541651456,1410,17398,8982826
859196978902773760,27428,83588,8982826
859074603037188101,12462,31506,8982827
858860390427611136,7399,0,8982827
858843525470990336,3170,14591,8982827
858471635011153920,4451,20177,8982827
858107933456039936,2643,14724,8982827
857989990357356544,2364,15026,8982827
857746408056729600,9739,31980,8982827
857393404942143489,1498,5511,8982827
857263160327368704,4141,18837,8982827
857214891891077121,16,210,8982827
857062103051644929,154,0,8982827
857029823797047296,3650,17656,8982827
856543823941562368,2654,15362,8982827
856526610513747968,1733,11164,8982827
856330835276025856,615,0,8982827
856288084350160898,15,487,8982827
856282028240666624,5797,26070,8982827
855862651834028034,22,313,8982827
855860136149123072,894,4600,8982827
855857698524602368,1945,11196,8982827
855851453814013952,16741,43239,8982827
855818117272018944,5019,25120,8982827
855459453768019968,7600,28050,8982827
855245323840757760,5507,0,8982827
855138241867124737,39,0,8982827
854732716440526848,5617,21438,8982827
854482394044301312,6311,27547,8982827
854365224396361728,4349,17832,8982827
854120357044912130,6932,30194,8983346
854010172552949760,2921,15368,8982827
853760880890318849,5357,27027,8982827
853639147608842240,9298,32750,8982827
853299958564483072,3303,14666,8982827
852936405516943360,1853,0,8982827
852912242202992640,1678,8526,8982827
852672615818899456,2014,14154,8982827
852553447878664193,3249,15435,8982827
852311364735569921,9272,31439,8982827
852226086759018497,6376,18957,8982827
852189679701164033,1481,10915,8982827
851861385021730816,19,0,8982827
851591660324737024,3254,15489,8982827
851464819735769094,6605,23071,8982827
851224888060895234,5393,19700,8982827
850753642995093505,8483,29252,8982827
850380195714523136,2437,12500,8982827
850333567704068097,308,3295,8982827
850145622816686080,3547,15554,8982827
850019790995546112,4568,19468,8982827
849776966551130114,7124,28973,8982827
849668094696017920,4661,0,8982827
849412302885593088,2959,15176,8982827
849336543269576704,1770,10903,8982827
849051919805034497,7958,40449,8982827
848690551926992896,4080,24114,8982827
848324959059550208,4351,23654,8982827
848213670039564288,675,7816,8982827
848212111729840128,2840,15616,8982827
847978865427394560,3066,0,8982827
847971574464610304,416,0,8982827
847962785489326080,4794,22519,8982828
847842811428974592,1240,5186,8982827
847617282490613760,389,6691,8982829
847606175596138505,3235,17989,8982830
847251039262605312,4089,19654,8982830
847157206088847362,5505,19017,8982827
847116187444137987,3008,20590,8982830
846874817362120707,3706,19268,8982827
846514051647705089,10893,42717,8982830
846505985330044928,2900,13552,8982830
846153765933735936,8536,30260,8982827
846139713627017216,9564,29800,8982830
846042936437604353,2703,15344,8982827
845812042753855489,8220,28033,8982830
845677943972139009,4561,24215,8982830
845397057150107648,1684,7323,8982830
845306882940190720,5085,22417,8982827
845098359547420673,7242,0,8982830
844979544864018432,2412,13121,8982830
844973813909606400,2994,14442,8982830
844580511645339650,2944,15825,8982827
844223788422217728,2072,13158,8982830
843981021012017153,2806,14636,8982830
843856843873095681,4370,20687,8982830
843604394117681152,2590,16263,8982830
843235543001513987,5682,20711,8982830
842846295480000512,3452,14743,8982831
842765311967449089,1205,6487,8982831
842535590457499648,3335,17484,8982831
842163532590374912,5507,23561,8982828
842115215311396866,2877,13485,8982831
841833993020538882,14244,0,8982831
841680585030541313,7462,24886,8982831
841439858740625411,3485,12166,8982828
841320156043304961,5253,19115,8982831
841314665196081154,4410,15286,8982831
841077006473256960,5065,22073,8982831
840761248237133825,1674,0,8982831
840728873075638272,15269,0,8982831
840698636975636481,2,172,8982831
840696689258311684,923,11867,8982831
840632337062862849,1674,8699,8982832
840370681858686976,4342,15887,8982832
840268004936019968,5459,18595,8982832
839990271299457024,2165,12972,8982832
839549326359670784,7399,26515,8982831
839290600511926273,137,0,8982832
839239871831150596,6216,26196,8982832
838952994649550848,3825,19019,8982832
838921590096166913,1949,10782,8982832
838916489579200512,32,0,8982832
838831947270979586,10516,0,8982832
838561493054533637,1269,10620,8982832
838476387338051585,4535,21749,8982832
838201503651401729,9601,0,8982832
